id,title,author,year,language
362,The Year of Magical Thinking,Joan Didion,2005,English
363,Their Eyes Were Watching God,Zora Neale Hurston,1937,English
364,Th?r?se Desqueyroux,Fran?ois Mauriac,1927,French
365,"Thinking, Fast and Slow",Daniel Kahneman,2011,English
366,This House of Grief,Helen Garner,2014,English
367,Three Essays on the Theory of Sexuality,Sigmund Freud,1905,German
368,Three Men in a Boat,Jerome K. Jerome,1889,English
369,Tinker Tailor Soldier Spy, John Le Carr?,1974,English
370,Tobacco Road,Erskine Caldwell,1932,English
371,Tom Jones,Henry Fielding,1749,English
372,Tristes Tropiques,Claude L?vi-Strauss,1955,French
373,Tristram Shandy, Laurence Sterne,1759,English
374,Tropisms,Nathalie Sarraute,1939,French
375,True History of the Kelly Gang,Peter Carey,2000,English
376,Ubik,Philip K. Dick,1969,English
377,Under the Sun of Satan,Georges Bernanos,1926,French
378,Underland,Robert Macfarlane,2019,English
379,Vanity Fair,William Makepeace Thackeray,1848,English
380,Visitation,Jenny Erpenbeck,2008,German
381,Waiting for Godot,Samuel Beckett,1952,French
382,Waiting for the Barbarians,JM Coetzee,1980,English
383,Watchmen,Alan Moore & Dave Gibbons,1986,English
384,Way of All Flesh,Samuel Butler,1903,English
385,White Noise,Don DeLillo,1985,English
386,Why Be Happy When You Could Be Normal?,Jeanette Winterson,2011,English
387,"Winesburg, Ohio",Sherwood Anderson,1919,English
388,Wings of the Dove,Henry James,1902,English
389,Wise Blood,Flannery O'Connor,1952,English
390,Wise Children,Angela Carter,1991,English
391,Wolf Hall,Hilary Mantel,2009,English
392,Women & Power,Mary Beard,2017,English
393,Women in Love,D. H. Lawrence,1920,English
394,Writing Degree Zero,Roland Barthes,1953,French
395,Wuthering Heights,Emily Bront?,1847,English
396,Zazie in the Metro,Raymond Queneau,1959,French
397,Zuleika Dobson,Max Beerbohm,1911,English
